s,p,o
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thing
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money7,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Pakistani rupee
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#India,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#India,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Country
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM5,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#First_name,Pushpa
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM5,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Last_name,Kamal Dahal
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem
